Haul,Header,CruiseLocalID,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulHydrographicStationID,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum
Haul,Record,352-1002-2021412,PEL,2970,297,2021-07-06T08:04,30,V,65.8525,-26.847,65.8553,-26.9292,,0,0,439,4074,32.9,40,134,,,301,,,,,,,,,,,,,232,4.4,,180,5,,,,SURF
Haul,Record,352-1002-2021412,PEL,2980,298,2021-07-06T11:46,20,V,66.0847,-26.5928,66.0817,-26.5502,,200,200,450,2037,40,40,134,,,635,,,,,,,,,,,,,100,3.3,,180,4,,,,SURF
Haul,Record,352-1002-2021412,PEL,2990,299,2021-07-07T05:18,30,V,66.3842,-24.493,66.3477,-24.5103,,0,0,93,4630,34.1,40,134,,,309,,,,,,,,,,,,,236,5,,200,7,,,,SURF
Haul,Record,352-1002-2021412,PEL,3000,300,2021-07-07T22:24,30,V,66.9473,-22.0963,66.9773,-22.1032,,0,0,186,4630,31.9,40,134,,,314,,,,,,,,,,,,,270,5,,110,5,,,,SURF
Haul,Record,352-1002-2021412,PEL,3010,301,2021-07-08T08:40,30,V,67.9965,-22.0628,67.9762,-22.1597,,0,0,819,4630,46.7,40,134,,,299,,,,,,,,,,,,,208,5.1,,250,10,,,,SURF
Haul,Record,352-1002-2021412,PEL,3020,302,2021-07-08T18:42,30,V,68.5428,-19.6462,68.5385,-19.7298,,0,0,1188,4260,45.5,40,134,,,296,,,,,,,,,,,,,214,4.7,,200,12,,,,SURF
Haul,Record,352-1002-2021412,PEL,3030,303,2021-07-09T03:15,30,V,67.4665,-19.6932,67.483,-19.779,,0,0,359,4815,34.9,40,134,,,302,,,,,,,,,,,,,2,5.2,,230,8,,,,SURF
Haul,Record,352-1002-2021412,PEL,3040,304,2021-07-09T11:13,30,V,66.4238,-19.6833,66.4547,-19.6502,,0,0,253,4630,33.9,40,134,,,301,,,,,,,,,,,,,316,5.1,,990,3,,,,SURF
Haul,Record,352-1002-2021412,PEL,3050,305,2021-07-09T23:59,30,V,66.956,-17.178,66.9282,-17.1372,,0,0,242,4445,32.7,40,134,,,299,,,,,,,,,,,,,55,4.9,,90,8,,,,SURF
Haul,Record,352-1002-2021412,PEL,3060,306,2021-07-10T08:02,31,V,68.043,-17.1733,68.0183,-17.1092,,0,0,1280,4445,32,40,134,,,301,,,,,,,,,,,,,75,4.9,,90,5,,,,SURF
Haul,Record,352-1002-2021412,PEL,3070,307,2021-07-10T16:18,30,V,69.104,-17.1658,69.0687,-17.1505,,0,0,1194,5000,31.9,40,134,,,317,,,,,,,,,,,,,104,5.4,,70,6,,,,SURF
